Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
1,Walking On Sunshine,Katrina & The Waves,1983,https://www.youtube.com/watch?v=iPUmE-tne5U,19c22c9167e0ca91d413697d52a888ffe2fa23ccd49c5f83e281cb2bf5f6b252,Katrina & The Waves - Walking On Sunshine (Official Music Video),USCA28500452
2,Summer In the City,Joe Cocker,1994,https://www.youtube.com/watch?v=GuyfyTvrZJc,632a8063314e428ac63e109c7d2fb65978bbd35fce98b6cf36a06b758e272cb9,Summer in the City (Radio Edit),USCA29400204
3,Perfect,Fairground Attraction,1988,https://www.youtube.com/watch?v=txapREGWHp0,2632b7f0dffc6f54ad8f7998b00eb08538b6d94fa39705efa9518b993961ae7c,Fairground Attraction - Perfect,GBARL8800011
4,Have You Ever Seen The Rain,Creedence Clearwater Revival,1970,https://youtu.be/u1V8YRJnr4Q?t=16,2ecb57d908ab20ba4c9ab4e8c7741d46ecb57d46dad17fdfc39d9e3891c84d3f,Creedence Clearwater Revival - Have You Ever Seen The Rain (Official),USC4R0817643
5,Je ne parle pas français,Namika,2018,https://www.youtube.com/watch?v=103bx_Waacc,ed25088b38a251706e3ed6bdce4544d2f8957d63b31f33e2fae83df5b61222b0,Namika - Je ne parle pas français (Official Video),DEE861800295
6,One Dance,Drake,2016,https://www.youtube.com/watch?v=qL7zrWcv6XY,99bb05e7b9b8ff31c6af03d002a7f91c9dd19e3fbf43ecfb4cd11b62c82f6c65,Drake - One Dance,USCM51600028
7,Vayamos compañeros,Marquess,2007,https://www.youtube.com/watch?v=blawzJELKf4,1bfd9a76e89fbd8c6270a133438c7f1ad8f04dc452e26e8f259be9e55506e1cb,Marquess - Vayamos compañeros (Official Video) HD,DEA620700217
8,MMMBop,Hanson,1997,https://www.youtube.com/watch?v=NHozn0YXAeE,870761c4706645cea35284f13811944b569531cfbe8d022fdd737eaee64209cd,Hanson - MMMBop (Official Music Video),USMR19786791
9,High,Lighthouse Family,1997,https://www.youtube.com/watch?v=taOL5HJdx1A,b4a0bca14e5e92babaccfde2cd6f5f5634646f289799633c54a922692259fa6a,Lighthouse Family - High (Official Music Video),GBALS9700072
10,All Night Long (All Night),Lionel Richie,1983,https://www.youtube.com/watch?v=nqAvFx3NxUM,b91bb9a2aaecb09767bf1285fd6b0b9d2302db0e6b2d07fb009d37d0a5fa9c7c,Lionel Richie - All Night Long (All Night),USMO18390005
11,Let The Music Play,Barry White,1976,https://www.youtube.com/watch?v=tfFjm-6cbu8,9fa0c26e124d120a2ca0665e559869a1a8a89a43c300237cd297ba9487bd9b96,Barry White - Let The Music Play (Official Music Video),USIR20200274
12,Shut Up (And Sleep With Me),Sin With Sebastian,1995,https://www.youtube.com/watch?v=KTfXUXqtkQw,dc2e94d8601c05cd943cb57e977fd8407ab0c79d374cca63f9f7e476356afa4b,sin with sebastian - Shut up (and Sleep with Me),usx9p1318548
13,Baila Me,Gipsy Kings,1991,https://www.youtube.com/watch?v=lgeUItUZjj4,7311e543414e9e8a483d5b61a67305223c499b2af7c4ff1876de202eec8e7f0c,Gipsy Kings - Baila Me (Official Video),GBARL0700383
14,Summertime,DJ Jazzy Jeff & The Fresh Prince,1991,https://www.youtube.com/watch?v=Kr0tTbTbmVA,572110c147135ab79e48762fe59a2299f8b6c04632c6395bc9b1c8878104efd5,DJ Jazzy Jeff & The Fresh Prince - Summertime,USJI19100002
15,Suavemente,Elvis Crespo,1998,https://www.youtube.com/watch?v=WPiEbYSF9kE,05a9e0fed0c4cb625ad07492795f82d17af5b0107f4153cca5bca2643e8f0edb,Elvis Crespo - Suavemente,USSD19700576
16,I Gotta Feeling,Black Eyed Peas,2009,https://www.youtube.com/watch?v=uSD4vsh1zDA,c90ed7587cc4897fe6054256125f2930b4f0d42d46554b7059121ec71a1fb52d,The Black Eyed Peas - I Gotta Feeling (Official Music Video),USUM70965169
17,The Look,Roxette,1988,https://www.youtube.com/watch?v=LlVI7ZNiFlI,cfe223cf49d1e3f80378c57cb9e2f0e6fe3eac321c75e10b896485348f39cf28,Roxette - The Look,SEAME8878010
18,Mysterious Girl,Peter Andre,1995,https://www.youtube.com/watch?v=iqIq4B1rgl4,f23e20014fe94953983fe67ad2c816400264876320d7a0c7553d7c8dd3fd0ab4,Peter Andre - Mysterious Girl (Official Music Video),GBAHS0400990
19,Breaking Me,Topic,2019,https://www.youtube.com/watch?v=jIoEaTN7GGo,551c06c9ddfdcbd82eb1af807c355297d87b7656b9030dc32adf4c239dcc7d9e,"Topic, A7S - Breaking Me ft. A7S",DEUM71906724
20,Here Comes The Sun,The Beatles,1969,https://www.youtube.com/watch?v=xUNqsfFUwhY,ebb1172eb167b90b1d13c6bf0b1f02e599b3ac3d4619eae86ad7ffaae4dc3ff6,Here Comes The Sun (Remastered 2009),GBAYE0601696
21,Eine Woche wach,Mickie Krause,2019,https://www.youtube.com/watch?v=F9y9-xgbPmM,671deced8dae6e284f60a5bf396c7d61db77740a9b35c08203112e8e73a0192c,Mickie Krause - Eine Woche wach,DEUM71901939
